time_iso8601,forks_cumulative
2023-12-18 00:00:00+00:00,33633
2023-12-19 00:00:00+00:00,33670
2023-12-20 00:00:00+00:00,33706
2023-12-21 00:00:00+00:00,33750
2023-12-22 00:00:00+00:00,33781
2023-12-23 00:00:00+00:00,33811
2023-12-24 00:00:00+00:00,33839
2023-12-25 00:00:00+00:00,33873
2023-12-26 00:00:00+00:00,33918
2023-12-27 00:00:00+00:00,33972
2023-12-28 00:00:00+00:00,34001
2023-12-29 00:00:00+00:00,34029
2023-12-30 00:00:00+00:00,34051
2023-12-31 00:00:00+00:00,34069
2024-01-01 00:00:00+00:00,34091
2024-01-02 00:00:00+00:00,34141
2024-01-03 00:00:00+00:00,34189
2024-01-04 00:00:00+00:00,34233
2024-01-05 00:00:00+00:00,34268
2024-01-06 00:00:00+00:00,34297
2024-01-07 00:00:00+00:00,34326
2024-01-08 00:00:00+00:00,34354
2024-01-09 00:00:00+00:00,34390
2024-01-10 00:00:00+00:00,34426
2024-01-11 00:00:00+00:00,34461
2024-01-12 00:00:00+00:00,34495
2024-01-13 00:00:00+00:00,34524
2024-01-14 00:00:00+00:00,34558
2024-01-15 00:00:00+00:00,34601
2024-01-16 00:00:00+00:00,34637
2024-01-17 00:00:00+00:00,34667
2024-01-18 00:00:00+00:00,34710
2024-01-19 00:00:00+00:00,34747
2024-01-20 00:00:00+00:00,34770
2024-01-21 00:00:00+00:00,34801
2024-01-22 00:00:00+00:00,34830
2024-01-23 00:00:00+00:00,34873
2024-01-24 00:00:00+00:00,34910
2024-01-25 00:00:00+00:00,34943
2024-01-26 00:00:00+00:00,34968
2024-01-27 00:00:00+00:00,34996
2024-01-28 00:00:00+00:00,35027
2024-01-29 00:00:00+00:00,35059
2024-01-30 00:00:00+00:00,35102
2024-01-31 00:00:00+00:00,35132
2024-02-01 00:00:00+00:00,35161
2024-02-02 00:00:00+00:00,35184
2024-02-03 00:00:00+00:00,35210
2024-02-04 00:00:00+00:00,35244
2024-02-05 00:00:00+00:00,35284
2024-02-06 00:00:00+00:00,35323
2024-02-07 00:00:00+00:00,35356
2024-02-08 00:00:00+00:00,35383
2024-02-09 00:00:00+00:00,35410
2024-02-10 00:00:00+00:00,35430
2024-02-11 00:00:00+00:00,35453
2024-02-12 00:00:00+00:00,35476
2024-02-13 00:00:00+00:00,35501
2024-02-14 00:00:00+00:00,35526
2024-02-15 00:00:00+00:00,35557
2024-02-16 00:00:00+00:00,35586
2024-02-17 00:00:00+00:00,35609
2024-02-18 00:00:00+00:00,35636
2024-02-19 00:00:00+00:00,35679
2024-02-20 00:00:00+00:00,35712
2024-02-21 00:00:00+00:00,35762
2024-02-22 00:00:00+00:00,35802
2024-02-23 00:00:00+00:00,35846
2024-02-24 00:00:00+00:00,35890
2024-02-25 00:00:00+00:00,35934
2024-02-26 00:00:00+00:00,35980
2024-02-27 00:00:00+00:00,36032
2024-02-28 00:00:00+00:00,36079
2024-02-29 00:00:00+00:00,36128
2024-03-01 00:00:00+00:00,36179
2024-03-02 00:00:00+00:00,36207
2024-03-03 00:00:00+00:00,36232
